Industry,August 2014 ($),August 2019 ($)
"Agriculture, forestry and fishing",850,1038
Mining,2115,2300
Manufacturing,1050,1125
"Electricity, gas, water and waste services",1442,1597
Construction,1181,1280
Wholesale trade,1035,1150
Retail trade,600,700
Accommodation and food services,456,500
"Transport, postal and warehousing",1119,1237
Information media and telecommunications,1248,1347
Financial and insurance services,1297,1500
"Rental, hiring and real estate services",1000,1137
"Professional, scientific and technical services",1332,1450
Administrative and support services,850,948
Public administration and safety,1250,1495
Education and training,1050,1200
Health care and social assistance,900,1000
Arts and recreation services,702,898
Other services,880,963
,,
Source: Table 3.,,
,,
"Source: Australian Bureau of Statistics,  Characteristics of Employment, Australia August 2019",,
